('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         667323 function calls (646641 primitive calls) in 5.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    3.026    3.026    3.027    3.027 {built-in method _socket.getaddrinfo}
      875    1.953    0.002    1.953    0.002 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.109    0.109    0.109    0.109 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.077    0.077    0.077    0.077 {method 'connect' of '_socket.socket' objects}
     2744    0.027    0.000    0.148    0.000 parser.py:300(parse_starttag)
 4408/160    0.023    0.000    0.063    0.000 sre_parse.py:494(_parse)
    25183    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        2    0.018    0.009    0.229    0.114 parser.py:133(goahead)
 4865/153    0.014    0.000    0.029    0.000 sre_compile.py:87(_compile)
     2744    0.012    0.000    0.016    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2745    0.011    0.000    0.033    0.000 element.py:1618(__init__)
     2744    0.010    0.000    0.070    0.000 __init__.py:987(handle_starttag)
     2744    0.009    0.000    0.084    0.000 _htmlparser.py:142(handle_starttag)
        1    0.008    0.008    0.008    0.008 dammit.py:969(_to_unicode)
     5750    0.008    0.000    0.036    0.000 __init__.py:826(endData)
       86    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
     8301    0.008    0.000    0.008    0.000 element.py:376(setup)
     2568    0.006    0.000    0.039    0.000 parser.py:385(parse_endtag)
    76827    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      875    0.006    0.000    1.965    0.002 ssl.py:1292(recv_into)
60295/54769    0.006    0.000    0.008    0.000 {built-in method builtins.len}
     2778    0.006    0.000    0.013    0.000 __init__.py:867(object_was_parsed)
    24705    0.006    0.000    0.009    0.000 sre_parse.py:165(__getitem__)
     2745    0.006    0.000    0.007    0.000 __init__.py:809(pushTag)
 4764/285    0.006    0.000    0.008    0.000 sre_parse.py:175(getwidth)
    18533    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
    10913    0.006    0.000    0.009    0.000 _markupbase.py:44(updatepos)
    46166    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
      562    0.006    0.000    0.007    0.000 sre_compile.py:292(_optimize_charset)
     2743    0.006    0.000    0.011    0.000 __init__.py:950(_popToTag)
 1014/154    0.005    0.000    0.063    0.000 sre_parse.py:436(_parse_sub)
      875    0.005    0.000    1.973    0.002 socket.py:691(readinto)
     2778    0.005    0.000    0.007    0.000 __init__.py:732(string_container)
     8194    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    14267    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     2744    0.004    0.000    0.033    0.000 _htmlparser.py:204(handle_endtag)
     2744    0.004    0.000    0.004    0.000 __init__.py:786(popTag)
        1    0.004    0.004    0.048    0.048 dammit.py:128(_populate_class_variables)
  346/345    0.004    0.000    0.047    0.000 {built-in method builtins.__build_class__}
     2778    0.004    0.000    0.008    0.000 element.py:1291(__new__)
      875    0.004    0.000    1.957    0.002 ssl.py:1150(read)
     1473    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
     3123    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x55c65d43d9a0}
     2744    0.003    0.000    0.010    0.000 parser.py:351(check_for_whole_start_tag)
     2743    0.003    0.000    0.029    0.000 __init__.py:1053(handle_endtag)
    18937    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    11313    0.003    0.000    0.006    0.000 sre_parse.py:255(get)
       87    0.003    0.000    0.984    0.011 {method 'read' of '_io.BufferedReader' objects}
     8118    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
5871/5851    0.003    0.000    0.007    0.000 typing.py:306(inner)
     2008    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     9183    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
    12589    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    10766    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
     2269    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
