('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         666983 function calls (646361 primitive calls) in 5.788 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    76767    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
60177/54711    0.010    0.000    0.012    0.000 {built-in method builtins.len}
    46106    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    25183    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
    24645    0.009    0.000    0.013    0.000 sre_parse.py:165(__getitem__)
    18937    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    18533    0.010    0.000    0.010    0.000 sre_parse.py:234(__next)
    14979    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    14267    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    14261    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13186    0.004    0.000    0.004    0.000 {built-in method builtins.min}
    12589    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11313    0.005    0.000    0.010    0.000 sre_parse.py:255(get)
    10913    0.006    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    10706    0.004    0.000    0.005    0.000 sre_parse.py:161(__len__)
     9183    0.004    0.000    0.007    0.000 sre_parse.py:250(match)
     8447    0.001    0.000    0.001    0.000 typing.py:1737(cast)
     8301    0.007    0.000    0.007    0.000 element.py:376(setup)
     8194    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     8118    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     7241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6464    0.004    0.000    0.004    0.000 sre_parse.py:173(append)
     5950    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
5871/5851    0.003    0.000    0.008    0.000 typing.py:306(inner)
     5750    0.008    0.000    0.034    0.000 __init__.py:826(endData)
     5611    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5600    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5370    0.003    0.000    0.003    0.000 sre_parse.py:112(__init__)
 4865/153    0.021    0.000    0.041    0.000 sre_compile.py:87(_compile)
 4764/285    0.012    0.000    0.017    0.000 sre_parse.py:175(getwidth)
 4408/160    0.040    0.000    0.112    0.001 sre_parse.py:494(_parse)
