('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
        1    3.052    3.052    3.052    3.052 {built-in method _socket.getaddrinfo}
      290    1.208    0.004    1.208    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.084    0.084    0.084    0.084 {method 'connect' of '_socket.socket' objects}
        1    0.047    0.047    0.047    0.047 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.041    0.041    0.041    0.041 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4761/200    0.024    0.000    0.067    0.000 sre_parse.py:494(_parse)
     2742    0.018    0.000    0.102    0.000 parser.py:300(parse_starttag)
 5522/191    0.015    0.000    0.031    0.000 sre_compile.py:87(_compile)
    25180    0.014    0.000    0.014    0.000 {method 'match' of 're.Pattern' objects}
        2    0.013    0.007    0.164    0.082 parser.py:133(goahead)
      163    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
     2743    0.008    0.000    0.024    0.000 element.py:1618(__init__)
     2742    0.008    0.000    0.011    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     8299    0.007    0.000    0.007    0.000 element.py:376(setup)
       36    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     2742    0.007    0.000    0.051    0.000 __init__.py:987(handle_starttag)
    25523    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
     2566    0.006    0.000    0.032    0.000 parser.py:385(parse_endtag)
    29659    0.006    0.000    0.009    0.000 sre_parse.py:165(__getitem__)
     2742    0.006    0.000    0.059    0.000 _htmlparser.py:142(handle_starttag)
     5746    0.006    0.000    0.027    0.000 __init__.py:826(endData)
    85937    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      903    0.006    0.000    0.008    0.000 sre_compile.py:292(_optimize_charset)
68570/62190    0.006    0.000    0.007    0.000 {built-in method builtins.len}
  571/568    0.006    0.000    0.050    0.000 {built-in method builtins.__build_class__}
 5469/372    0.006    0.000    0.008    0.000 sre_parse.py:175(getwidth)
53914/53910    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
 1272/192    0.005    0.000    0.067    0.000 sre_parse.py:436(_parse_sub)
     2741    0.004    0.000    0.008    0.000 __init__.py:950(_popToTag)
    10905    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
     2778    0.004    0.000    0.010    0.000 __init__.py:867(object_was_parsed)
     2743    0.004    0.000    0.005    0.000 __init__.py:809(pushTag)
    16702    0.004    0.000    0.008    0.000 sre_parse.py:255(get)
     8190    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     3184    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x562dc0ac59a0}
     2778    0.003    0.000    0.005    0.000 __init__.py:732(string_container)
     1473    0.003    0.000    0.003    0.000 __init__.py:906(_linkage_fixer)
    14253    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
        1    0.003    0.003    0.039    0.039 dammit.py:128(_populate_class_variables)
     2742    0.003    0.000    0.024    0.000 _htmlparser.py:204(handle_endtag)
     2742    0.003    0.000    0.003    0.000 __init__.py:786(popTag)
    12252    0.002    0.000    0.004    0.000 sre_parse.py:250(match)
      410    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    12622    0.002    0.000    0.003    0.000 sre_parse.py:161(__len__)
    19611    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2008    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2778    0.002    0.000    0.005    0.000 element.py:1291(__new__)
     2742    0.002    0.000    0.007    0.000 parser.py:351(check_for_whole_start_tag)
     8114    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    13771    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
5932/5910    0.002    0.000    0.007    0.000 typing.py:306(inner)
     6197    0.002    0.000    0.002    0.000 sre_parse.py:112(__init__)
     7466    0.002    0.000    0.002    0.000 sre_parse.py:173(append)
    14682    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      836    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     2270    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2741    0.002    0.000    0.021    0.000 __init__.py:1053(handle_endtag)
    14566    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      307    0.001    0.000    0.111    0.000 re.py:288(_compile)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
